ESC1	ESC2	ESC3	ESC4	ESC5	ESC6	ESC7	ESC8	ESC9	ESC10	ESC11	ESC12	ESC13	ESC14	ESC15	ESC16	ESC17	ESC18	ESC19	ESC20	ESC21	MSE1	MSE2	MSE3	MSE4	MSE5	MSE6	MSE7	MSE8	MSE9	MSE10	MSE11	MSE12	MSE13	MSE14	MSE15	MSE16	MSE17	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8	CP9	CP10	CP11	CP12	CP13	CP14	CP15	CP16	CP17	CM1	CM2	CM3	CM4	CM5	CM6	CM7	CM8	CM9	CM10	CM11	CM12	CM13	CM14	CM15	CM16
ENSG00000167117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.732773	0	0	0	0	0	0	0.615415	0	0	0	0	0	0	0	0	0	0	0.362426	0.750359	0.932709	0	0.37544	0	0.490242	0	0	0	0	0	0.125192	0.124806	0	0	0	0.13358	0	0.133159	0	0.431737	0.133043	0	0.106547	0.213954	0.70168	0	0	0.211749	0.211605	0.211938	0.106178	1.35554	1.0707	0.114023	0.367317	0	0.488897	0
ENSG00000167355	0	0	0	0	0.290588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181841	0	0	0	0	0	0	0	0	0.312696	0	0	0	0.000323998	0	0	0	0	0	0.999231	0.531257	0	0	0.000321783	0.702615	0.640092	0	0.945309	1.12844	0.34215	0.000197635	0.000325753	0.340964	0.564057	0.744653	0.34325	1.57581	0.602712	1.25125	1.19823	0.93494	2.50995	1.46718	2.06583	2.73059	1.06459	3.66479	0.490785	0.491995	0.737649	2.08799	2.86849
ENSG00000167912	5.60588	3.68819	4.34779	2.48228	6.08993	5.26586	1.90183	3.71028	4.37355	5.48919	3.26627	3.19557	3.88621	4.78484	3.79421	4.1371	3.40962	3.90196	1.5939	4.75692	2.61463	0.696036	0	1.05096	1.03726	0.357041	0.675697	0.338389	0	0.340549	0	0.315746	0.956506	1.28079	0.326062	0.638082	0.648891	1.2804	1.03524	0.345005	0	0.696849	1.0486	1.04935	1.7433	1.04803	0.866413	0	0.744393	1.11315	1.85538	0	0.735945	0.74144	0.747572	1.1959	1.20014	2.08969	0.894708	2.56986	1.31706	0.297222	0.595598	0.596688	0.894174	0	0.63839	0.319971	0.320554	0.95751	1.48702
ENSG00000170161	0.45753	2.83909	1.22661	4.04153	0.948534	1.13255	0.994975	0.683351	0.659749	3.60682	0.833846	0.309547	1.3876	0.878559	3.69146	0.302443	5.48045	2.86343	5.55766	0.488319	0.337824	0.0485074	0.277737	3.18818	0.256373	0.719294	2.87092	2.86824	0.118959	1.52667	7.0594	0.367434	0.63888	0.34187	0.349574	0.453796	0.545193	1.23897	2.78782	0.747528	0.271287	0.345287	1.36113	0.408499	0.244319	0.122433	0	0.304971	2.89392	0.303728	0.572558	0.266844	0.384605	0.0363316	0.244769	5.07965	0.564382	0.11626	1.25356	0.299526	0.264738	0.202337	2.45677	2.4326	0.177719	0	2.59221	0.478078	2.56155	0.249109	0.321245
ENSG00000170846	4.46935	5.46416	6.18133	4.26858	4.63716	4.68002	3.79041	6.31534	4.52176	5.25294	4.33984	3.91233	4.01741	5.72459	4.76682	3.82336	4.09946	5.12167	4.38531	5.00845	4.40252	0.61553	0.762031	1.20026	1.33237	1.73748	4.34018	2.46778	4.24493	3.16831	1.10141	2.52014	2.82699	2.9823	3.32563	3.11225	2.87638	2.55371	3.22854	3.84156	3.62652	4.82617	2.65612	3.74946	3.58205	3.59071	2.32204	2.96681	1.99955	1.66119	1.49494	3.05801	1.647	1.99153	2.67732	3.85811	3.2056	3.32119	3.73051	3.69053	2.81624	2.90695	3.44099	4.37595	3.44387	5.25895	3.44502	2.71157	3.57317	3.55592	3.67345
ENSG00000170919	5.03887	4.25759	6.39242	4.86727	4.48043	6.01778	13.5813	4.71579	4.09233	4.06574	5.77452	4.54881	3.6582	8.20128	2.11441	3.35559	4.7727	3.15806	8.01725	4.2858	5.59378	3.38563	1.02438	0.900169	2.05304	0.902595	3.19597	4.89733	3.66896	2.96757	4.5756	4.37296	2.75895	2.78034	4.58416	3.68472	6.81436	2.60008	11.71	13.5378	6.96932	11.1093	10.2185	9.60597	10.7277	9.76732	16.954	9.91972	7.73859	9.86726	11.4618	10.4356	10.1477	12.7485	7.04529	9.63741	8.82602	9.28601	8.43434	7.80346	5.49408	12.5123	5.90206	7.02931	7.23825	6.60414	12.2413	10.9539	12.0054	12.9424	14.4876
ENSG00000172250	0.329928	0.310504	0	0.337036	0	0.459741	0	0.317433	0.329937	0.273199	0.380622	0.334491	0.464509	0	0.245321	0	0.12379	0.33406	0	0.250731	0	0	0	0	0.725977	0.138488	0	0	0.132339	0.264334	0	1.04909	0	0.334366	0.68177	0.704955	0.251835	0.62115	0	0.357626	0	0.104085	0	1.44145	0.494829	1.18492	0.893078	0.143486	0.145027	0.525145	1.05042	0.28937	0.143381	0.577835	1.22019	0.620421	0.206036	0.619345	0.23189	0	0	0.733895	0	0.620663	0.620158	0	0.84312	0	0.705714	0	0
ENSG00000172965	23.8457	18.9908	22.5545	18.4718	19.2626	23.9956	28.9709	28.052	22.4083	22.5171	25.4441	26.2363	23.555	19.5008	12.7833	21.7951	16.4348	16.1655	15.4584	13.7381	13.8269	2.42892	0	1.0555	1.19752	0.647062	1.80757	2.59847	2.9453	4.75154	1.47173	0.462532	1.4739	1.52459	0.694671	0.156279	1.65045	2.34965	0.802426	0.798891	5.21455	0.578638	0.80744	0.237649	0	0.438169	0.5623	0.250517	3.33786	1.00213	4.00769	0.586159	3.99688	0.361555	3.63702	3.34552	1.15562	4.71109	0.91001	7.58112	2.72153	4.07327	2.46562	3.74409	3.15145	0	3.61643	5.62014	4.27205	1.26694	4.38424
ENSG00000173727	0	0	0	0.431238	0.212596	0	1.27532	0	0	0	0	0	0	0	0.423986	0	0	0	0	0	0	0.46718	0	0	0	0	0	0.680674	0	0	0.890876	0.451981	0	0	0	0	0	0	0	0.461271	0	0.464802	0	0.933342	0	0.496967	0	0	0	0	0.527163	0	0.522893	0.526692	0	1.22623	0.802165	0.825134	0.851119	0	0.823451	0.424693	0	0	0.425839	1.21866	1.36472	0.456037	0	0.455005	2.34985
ENSG00000173862	0	0.323672	0	0	0	0.327743	0.973198	0	0	0.327415	0	0	0	0	0	0.32564	0	0	0.326212	0.330674	0	0	0	0	0	0	0.345763	0.346361	0.349028	0.348596	0	0.32318	0.326265	0.32765	0.333753	0.653	0	0.655114	0.706115	0	0	0	0.357562	0.357828	0.713323	1.42948	0	0.376741	0	0	0.379557	0.379819	0	0.37922	1.1471	0	0.30697	0	0	1.75293	0.30449	0.304192	0.304733	0	0	0	0.653167	0.327425	0	0.326538	0
ENSG00000173867	0.568266	8.04123e-07	1.37783	7.85618	7.6361	5.5865e-07	5.61543e-07	0.0547856	0.026291	0.137435	7.97664	1.22145	3.30445e-17	2.83519	4.62881	0.569409	4.01732	2.18021	4.35901	8.47892	7.04051	0.530903	3.18537e-18	0.00129675	1.36541e-48	7.1284	2.01867	1.03625e-21	0.00083885	1.78314	2.39784e-29	3.6476	4.17741e-14	3.4212e-29	9.96113	0.000164821	7.38058	0.659159	1.67081	2.12965	6.21929	4.9726	4.60788	2.47537	1.69113	3.80972	4.60064	7.27661	3.12636	3.16155	3.68158	4.11764e-05	5.12309	7.09613	3.87721	0.637596	6.11264	3.12171e-26	1.12795e-11	0.564937	0.530288	3.82409e-30	1.72202	3.04231	2.80562	3.52866	4.28176	1.13498	0.568774	3.90318	5.1488e-13
ENSG00000174171	0	0	0	0.369511	0	0	0.320224	0	0.366299	0	0	0	0	0	0	0.365688	0	0	0	0.371378	0	0	0	0	0	0	0	0	0	0	0.209369	0	0	0.367854	0	0	0.372748	0.735614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09889	0	0.685271	0	0	0	0	0	0	0	0	0	0.734316	0.735706	0	0.63046
ENSG00000177406	2.10129	2.00924	1.20805	2.01443	1.93056	0.725791	0.431083	1.14854	1.73555	1.38198	0.888397	0.724379	1.02797	1.26198	1.43314	0.721484	1.01281	1.17895	0.866955	0.410423	0.474333	0.315019	0.155985	0.158623	0	0	0.459535	0	0.618531	0.308829	1.12739	0.573184	0.578683	0.814682	0.443966	0.434363	0.275005	0.703293	0.786693	1.46936	2.47707	1.59322	1.11924	1.79286	0.796894	1.59765	1.58424	1.34935	2.42811	0.95328	1.11208	0.850477	1.68546	1.26984	2.08051	2.32077	1.40503	1.22366	1.3964	1.56051	0.676655	0.631712	1.13892	0.760752	0.135548	2.07015	1.36111	0.272948	0.731352	0.727826	1.00251
ENSG00000182021	0.0811994	0.163195	0.405822	0	0.0520409	0.0825857	0	0.0816969	0.0523958	0.435138	0	0	0.0835676	0.236026	0.0815404	0.0522804	0.0823406	0.111794	0.0392485	0.159315	0	0.119432	0.118334	0.0902317	0.0890274	0	0.203376	0.639877	0.154172	0.226982	0.204341	0.135942	0.630245	0.082744	0.112312	0.219774	0	0.655734	0.299031	0.617386	1.28	1.47219	0.365086	0.531292	0.841467	0.28929	1.44436	0.224751	0.324634	0.129459	0.42069	0.82564	0.120319	0.387992	1.45265	0.456726	0.201289	0.710218	0.714268	0.370605	0.943707	1.61059	0.481948	0.747365	2.40774	1.38644	1.57444	0.527574	0.990573	0.958281	2.99629
ENSG00000182057	0	0.268918	0	1.85839	0.74004	0.544545	0	0	1.18817	0.272085	0	0.81504	0	0.406836	0	1.18767	0	0.276419	0	0.274714	1.218	1.3055	0.292654	0	0	0	0.974319	0	1.27341	0.579227	0.528675	1.98243	0.741806	0.74417	1.77008	1.45984	2.14147	2.11438	0	0	0	0.296947	0.29791	0.596114	0.977474	0.595454	0	0	1.03632	0	0	0	0.313749	0	1.04098	0	0	0	0.253899	0	0	0	0	0	0	0	0	1.1751	0	0	0
