SRR2138382_Normal	SRR915775_Normal	SRR915787	SRR915784	SRR2138381_Normal
ENSG00000093100	7.2331	0.689927	0.326507	0.483923	11.0548
ENSG00000100181	3.28847	1.89951	0.434526	2.57474	2.18674
ENSG00000117242	31.0045	2.4549	1.73412	1.74595	25.4973
ENSG00000126005	22.8387	1.21121	1.38608	1.90323	21.3012
ENSG00000130600	213.49	3.68001	12.2639	14.5669	283.071
ENSG00000131484	0.930161	0.307162	0.759019	1.3177	1.41238
ENSG00000142396	24.3939	8.05863	2.28071	3.6071	28.3271
ENSG00000153363	7.92892	1.46993	1.18191	1.36609	7.61813
ENSG00000154537	1.54105	0.51116	0.153813	0.525813	1.69116
ENSG00000163597	30.8731	40.2502	10.0856	8.39268	33.6501
ENSG00000166770	16.6131	4.85519	0.767822	2.1224	17.6433
ENSG00000170161	9.2844	0.299586	0.114254	0.517509	5.90125
ENSG00000170919	11.8379	2.15533	1.47095	4.3373	14.3882
ENSG00000172965	14.8584	52.9852	1.94144	7.05844	14.5515
ENSG00000174171	11.5861	0.0307633	0.923395	0.75448	19.0533
ENSG00000174365	8.98484	0.735801	0.4297	0.881641	6.70097
ENSG00000174403	13.8361	0.132259	0.426987	0.300609	20.196
ENSG00000174407	28.4162	0.547994	0.742162	0.308727	19.4856
ENSG00000175061	85.9122	25.796	8.92764	16.9882	107.747
ENSG00000175611	4.70415	0.525472	0.785776	0.868083	8.10713
ENSG00000176593	1.66083	0.98348	0.946114	1.52036	2.28823
ENSG00000176728	14.6464	0.21244	2.62908	2.13537	0
ENSG00000176868	22.1086	2.80677	1.82641	3.13403	32.0685
ENSG00000177133	1.22266	0.186127	0.353229	0.264309	1.99499
ENSG00000177337	39.3074	3.32692	1.79441	2.30804	46.7733
ENSG00000177406	3.36902	0.836173	0.446652	0.292536	3.82137
ENSG00000177410	29.5028	21.4082	1.72992	9.08554	30.2836
ENSG00000179406	1.90742	0.478879	0.763004	1.05262	1.24047
