SRR2138382_Normal	SRR915775_Normal	SRR915787	SRR915784	SRR2138381_Normal
ENSG00000095380	23.8736	5.97577	1.00309	2.83293	16.8757
ENSG00000198189	17.5019	6.20689	1.00968	5.62519	11.8112
ENSG00000137714	8.60144	0.962809	0.719752	0.662704	8.16787
ENSG00000091947	12.6141	1.86763	1.09723	2.29353	10.3889
ENSG00000171109	17.4206	6.34563	3.89664	7.76711	12.5608
ENSG00000089820	10.7674	3.39951	0.932702	2.21587	11.6907
ENSG00000143257	16.4191	1.59177	0.464231	1.4336	16.113
ENSG00000143761	212.123	63.8687	25.3043	33.7214	225.245
ENSG00000142583	0.134754	1.00679	0.244587	0.935122	0.482377
ENSG00000113838	2.80243	1.64578	0.535518	1.35178	2.66005
ENSG00000248098	28.8826	5.2277	4.37149	4.75212	22.4492
ENSG00000171649	1.33491	0.544429	0.25593	0.53668	1.76494
ENSG00000197019	6.07012	1.98289	0.215108	0.72273	8.52075
ENSG00000060491	7.89465	1.87076	0.617239	1.54901	10.7516
ENSG00000241127	12.0273	2.13947	0.754832	2.1699	12.7278
ENSG00000150477	1.60124	6.8695	5.12298	10.4585	1.79077
ENSG00000114383	28.2921	5.29336	0.827044	2.2653	27.3006
ENSG00000157227	15.41	5.2709	2.15656	14.469	13.5373
ENSG00000105576	15.0438	5.01075	1.80936	3.04592	18.1466
ENSG00000106617	129.579	5.09749	4.87835	5.1649	138.392
ENSG00000099991	26.4657	2.23228	2.10532	3.49705	29.0304
ENSG00000162413	45.8238	2.37368	1.55823	1.34862	31.9695
ENSG00000182117	86.5468	62.3674	11.5976	12.1504	113.333
ENSG00000171444	2.67743	1.77096	2.38966	3.0076	4.742
ENSG00000068697	132.141	24.364	7.6756	19.5777	158.446
ENSG00000204406	4.44838	4.03719	2.92604	4.54626	3.39909
ENSG00000214367	1.93542	0.544124	0.288124	0.770798	1.77854
ENSG00000225697	5.71461	0.633111	0.448958	0.933892	7.01567
ENSG00000196187	13.9544	2.68985	1.2746	4.27525	11.5792
ENSG00000184254	2.89233	11.8526	0.654752	3.87281	3.32033
ENSG00000203797	11.0104	0.232959	1.04252	0.654482	7.57426
ENSG00000104679	21.0035	1.14498	1.16506	1.81483	22.2446
ENSG00000196569	49.5992	18.411	12.7636	12.9044	28.7247
ENSG00000213983	19.9126	4.11571	2.43216	3.04794	11.998
ENSG00000129682	1.38099	0.151719	0.206405	0.565111	1.93322
ENSG00000145439	5.84194	1.55604	1.40906	0.96059	6.53148
ENSG00000114378	14.6256	1.39936	2.54329	1.53985	22.807
ENSG00000111669	713.862	115.567	46.9785	36.687	775.29
ENSG00000111845	6.02482	1.16885	0.181983	0.766423	7.47376
ENSG00000148400	2.78286	1.36539	0.636718	1.10337	4.63187
ENSG00000179922	8.93665	0.449342	0.442312	0.518383	7.19943
ENSG00000059573	6.33217	1.5423	0.166339	3.80521	6.66251
ENSG00000120733	11.3516	3.54077	2.03838	4.59162	12.6034
ENSG00000006740	2.24039	0.324135	0.286162	1.30262	3.14851
ENSG00000178537	21.2831	2.64553	1.72893	2.15692	29.1428
ENSG00000172007	1.82434	0.581809	0.261987	0.667726	1.14528
ENSG00000109084	6.54658	1.43812	0.484177	1.0224	2.35657
ENSG00000102226	34.3765	2.39782	2.41274	5.16746	29.8899
ENSG00000132541	17.4912	2.17941	1.30435	1.43791	17.897
ENSG00000032742	4.34654	1.21581	0.180648	0.73026	6.3043
ENSG00000176087	36.8155	4.34298	1.74784	3.80322	35.1063
ENSG00000170889	660.577	127.743	32.4571	84.0267	622.304
ENSG00000188859	22.8139	1.32056	0.056393	0.216497	5.76581
ENSG00000132305	109.023	19.1548	12.2402	12.1538	108.217
ENSG00000114098	17.8951	19.2247	5.81594	7.00638	15.8367
ENSG00000196437	0.811647	1.40187	0.463677	0.993863	0.789771
ENSG00000073670	11.0252	0.43897	0.20948	0.287102	12.1711
ENSG00000143198	196.739599	41.5644485	28.363092	20.986653	210.73077495
ENSG00000144747	3.92163	2.03852	0.676304	2.44414	4.86022
ENSG00000112276	6.28563	6.18148	2.3831	1.84156	6.76777
ENSG00000162517	29.73	12.0831	2.74437	6.84154	30.5734
ENSG00000267645	6.71412	1.41384	1.03788	2.99334	6.90745
ENSG00000008086	0.839861	1.46726	1.16121	2.34167	0.971584
ENSG00000173926	6.59258	14.0771	1.22517	2.80139	14.0357
ENSG00000133961	14.9999	4.73911	1.12851	4.74108	13.9082
ENSG00000141449	3.77728	1.97061	1.28848	0.73852	3.20402
ENSG00000123427	1.32341	0.468655	0.105152	0.619524	1.04648
ENSG00000124380	37.3977	1.63447	0.868284	2.1047	36.2046
ENSG00000124145	24.3655	14.3008	3.64934	4.08026	34.047
ENSG00000213699	7.02731	3.31697	0.885826	2.79516	7.04278
ENSG00000204619	30.2504	6.15703	1.52918	3.15062	33.1808
ENSG00000068400	17.0202	1.67271	1.78403	1.86276	18.2501
ENSG00000139746	5.27562	1.81043	0.696025	2.18683	6.20304
ENSG00000204252	2.78289	0.895611	0.172489	2.00612	3.68422
ENSG00000278259	9.99465	4.12196	1.83163	2.41844	11.2002
ENSG00000002016	3.89871	1.44987	1.10637	3.17059	4.50534
ENSG00000186300	1.16626	0.625965	0.569256	0.776137	1.15664
ENSG00000102078	6.71868	0.990895	0.240279	0.826168	4.77572
ENSG00000118922	0.962505	1.62434	2.4171	2.37106	1.11686
ENSG00000162998	1.84296	0.02812	0.301614	0.799211	2.29764
ENSG00000159202	16.2941	10.307	2.61389	5.28594	16.7872
ENSG00000135723	20.1845	2.77274	0.982482	2.9268	16.8099
ENSG00000005844	1.02247	3.35865	0.580605	3.8054	1.36067
ENSG00000240771	12.5764	0.0233989	0.137628	1.21393	13.068
ENSG00000241489	5.00266	7.70246	4.63291	8.65815	8.81979
ENSG00000055208	12.3069	3.43296	1.16271	3.87149	11.9964
ENSG00000166482	105.323	2.38658	3.18298	25.577	103.908
ENSG00000154767	5.49546	0.399143	0.616104	1.47692	6.14062
ENSG00000127328	16.2679	5.37312	1.76188	1.17843	15.0254
ENSG00000198160	2.47327	1.45868	0.923903	1.65432	3.06392
ENSG00000119004	3.92901	1.49109	0.89768	2.15177	4.68309
ENSG00000111245	1933.1	2363.03	2358.01	670.616	832.141
ENSG00000099385	19.1172	3.50654	1.17991	1.83234	15.6874
ENSG00000178031	1.07416	0.474719	0.0264072	1.53695	0.4438
ENSG00000162545	9.3774	0.501385	0.386375	0.509768	12.0539
ENSG00000174165	3.60828	0.905681	0.338307	1.12443	3.00117
ENSG00000012983	3.43011	1.01145	0.786276	4.84079	2.92279
ENSG00000009790	0.523726	0.319493	0.0440094	1.0435	0.633474
ENSG00000077454	12.8554	3.57442	1.34014	3.00742	16.1325
ENSG00000183323	1.40309	1.47931	0.629941	1.53948	0.919315
ENSG00000164896	56.6292	4.97261	4.13495	3.38535	54.3333
ENSG00000153989	3.59682	1.85084	0.26016	0.901637	4.76878
ENSG00000100226	9.27737	2.7489	2.12584	2.20189	12.1412
ENSG00000162191	86.3242	6.59548	1.72173	4.06379	87.931
ENSG00000174233	18.4826	4.7038	6.0502	8.64934	40.6059
ENSG00000137720	26.2597	2.06206	1.18738	1.6081	32.0432
ENSG00000081377	4.98016	0.958274	0.831384	1.16246	4.88619
ENSG00000104897	9.67961	1.14272	0.820241	1.287	10.2095
ENSG00000221866	1.3614	0.593371	0.487549	1.38313	1.87282
ENSG00000163638	5.07806	6.89283	1.43859	5.67419	13.0778
ENSG00000196586	1.07712	0.726097	0.604389	0.721719	1.30986
ENSG00000182934	35.591	11.6477	4.00862	7.15848	39.2014
ENSG00000023228	91.5122	7.71553	13.7752	11.7272	86.9752
ENSG00000172346	90.0994	19.0543	7.79796	3.20548	67.1228
ENSG00000103005	17.8594	7.01622	1.66618	2.50098	16.3962
ENSG00000171763	5.25244	0.967468	0.293225	0.704763	4.46266
ENSG00000213523	40.0243	4.91947	1.82278	3.19604	38.7457
ENSG00000196776	33.8043	4.41693	1.21212	6.10975	53.2076
ENSG00000105486	1.63134	0.367545	0.457969	0.789201	2.55842
ENSG00000004864	3.88335	2.24058	0.474816	1.69424	5.04687
ENSG00000085511	9.1415	1.47848	1.665	1.75794	12.5523
ENSG00000074356	19.6346	0.758958	0.880338	1.39066	11.1349
ENSG00000132330	4.81662	1.57811	0.72909	1.90068	5.18645
ENSG00000164219	5.35005	1.10069	0.581702	1.2848	3.43375
ENSG00000154582	87.212	35.7123	3.95212	6.33509	93.069
ENSG00000004468	0.910519	0.67862	0.274173	1.20477	0.99271
ENSG00000040341	37.4062	9.1598	5.48579	7.6553	41.9879
ENSG00000188313	23.5586	12.135	2.92897	6.99874	50.51
ENSG00000144749	37.3184	10.7703	7.55903	8.38369	34.0437
ENSG00000280127	1.18469	0.489989	0.332491	0.861746	1.10109
ENSG00000113319	1.93036	1.07069	0.666324	0.606849	3.77369
ENSG00000109118	11.2156	4.4336	2.50742	4.03169	11.242
ENSG00000163950	11.7363	4.85084	0.774625	2.60344	10.885
ENSG00000137845	9.50242	9.14962	3.71851	5.80846	6.12146
ENSG00000001497	9.07062	1.24939	1.06594	1.2617	12.6891
ENSG00000112357	6.4231	0.652518	0.649433	0.364801	6.24545
ENSG00000106034	3.64002	6.1203	2.65446	3.60536	2.80606
